author,text,like_count,published_at
@confetticarol,Hey AI! I want to do this video but I&#39;m afraid of copyright infringement. Please advise.,1,2014-10-31T21:19:23Z
@Leov_Jaimes,"LOVE ITTTT <a href=""http://www.youtube.com/results?search_query=%23braveactions"">#BraveActions</a>",1,2014-10-17T06:54:34Z
@Mpili307,"Inspired....&lt;&lt;&lt; <a href=""http://www.youtube.com/results?search_query=%23aiesecintanzania"">#AIESECinTanzania</a> ",0,2014-10-09T16:11:27Z
@yingchen404,What&#39;s this song?,3,2014-10-04T18:16:19Z
@oyukathilof1913,"love this roll call &lt;3 <a href=""http://www.youtube.com/results?search_query=%23aiesecmongolia"">#AIESECMONGOLIA</a>",4,2014-10-04T10:59:12Z
@ngusaandrew3743,"if you won&#39;t try you will never fly!!!!!  I LOVE THIS ROLL CALL, From <a href=""http://www.youtube.com/results?search_query=%23aiesecintanzania"">#AIESECinTANZANIA</a>",13,2014-09-23T20:27:05Z
@amimedicenchulo,"Crush on Ana Sofia <a href=""http://www.youtube.com/results?search_query=%23aiesecmexico"">#AIESECMexico</a>",31,2014-09-08T04:04:24Z
@TheOlutayo,"My challenge, with love from Germany AIESECInternational roll call challenge. GERMANY<br>follow the link and enjoy :)",2,2014-09-01T11:01:53Z
@HanyAction1,CC roll call remains the best :),1,2014-08-26T21:07:48Z
@SasukeSamurai71,"Hey AI!<br><br>AIESEC New Zealand have accepted your challenge :D<br><br><a href=""https://www.youtube.com/watch?v=y5Wz3lAVj58"">http://youtu.be/y5Wz3lAVj58</a>",4,2014-08-19T02:57:21Z
@TobeyQ,"So, how is the challenge working? I&#39;ve finished my contribution^^ ",1,2014-08-18T21:59:52Z
@anuradhaedirisuriya,Name of the Song : Action Item - Brave (Goldhouse Remix),72,2014-08-18T18:13:29Z
@joaomadeira3722,Name of the music please :),1,2014-08-18T14:27:28Z
@MrWojtekBr,"We want to see all AIESEC POLAND dancing AI roll call<br><a href=""https://www.youtube.com/watch?v=VsdqUdgeW1c"">AI Roll Call Challange IC 2014 - AIESEC in POLAND LC UW</a>",6,2014-08-18T13:58:15Z
@weelltonzinho,"Super coooooool! Let&#39;s go, Braziiiil! IGN Summit is coming soon, so come on! :)",1,2014-08-18T01:03:39Z
@korszulak, easy :D ,0,2014-08-17T18:17:21Z
@indikaWijesooriya,EASY ;-) :D :D,0,2014-08-17T12:52:59Z
@Dorisiolaska,Ana Sofia jesteś najlepsza! :*,0,2014-08-17T07:17:39Z
